id,lemma,V1 frame,UMR,synset_id,URI lemma,roles,example,definition,notes,gramm_info,additional notes (not for processing),,
SlaT-3157-n2,convenio,v#v-w93_MPf31_MP,conuenio-NEW-15,v#02240481,96424,"ACT, PAT",Allobroges [...] ceteros conveniunt,try to get or reach,,,,,
SlaT-3158-n1,postulo,v#v-w768_MPf6_MP,postulo-01,v#00752764,118629,"ACT, ADDR, PAT","ab Lentulo, Cethego, Statilio, item Cassio postulant ius iurandum",,,,,,
SlaT-3158-n9,iuro,v#v-w903_MPf3_MP,iuro-05,v#00889947,109249,"ACT, PAT","ius iurandum, quod signatum ad civis perferant",,,,,,
SlaT-3158-n10,perfero,v#v-w695_MPf5_MP,perfero-10,v#01449974,116816,"ACT, ADDR, DIR1, DIR3, PAT","ius iurandum, quod signatum ad civis perferant",,,,,,
SlaT-3158-n12,signo,v#v-w543_MPf1_MP,signo-09,v#01356582 ,124766,"ACT, PAT","ius iurandum, quod signatum ad civis perferant",,,,,,
3159a1,postulo,v#v-w768_MPf8_MP,postulo-01,v#00752764,118629,"ACT, ADDR, PAT","ab Lentulo, Cethego, Statilio, item Cassio postulant ius iurandum",,,,,,
SlaT-3159-n1,impello,v#v-w671_MPf9_MP,impello-08/impello-11,v#01650425/v#02506546,106498,"ACT, ADDR, PAT",aliter haud facile eos ad tantum negotium inpelli posse,,merge,,different frame than other impello-08/impello-11,,
SlaT-3160-n2,do,v#v-w72_MPf30_MP,do-04,v#00806049,99970,"ACT, ADDR, PAT",ceteri nihil suspicantes dant,,,,,,
SlaT-3160-n4,suspicor,v#v-w134_MPf3_MP,suspicor-04,v#00687926,127134,"ACT, PAT",ceteri nihil suspicantes dant,,,,,,
SlaT-3160-n6,polliceor,v#v-w822_MPf3_MP,polliceor-01/polliceor-02,v#00884317/v#00889555,118296,"ACT, ADDR, PAT",Cassius semet eo brevi venturum pollicetur,,merge,,,,
SlaT-3160-n8,venio,v#v-w34_MPf9_MP,uenio-07,v#02005948,129790,"ACT, DIR1, DIR3",Cassius semet eo brevi venturum pollicetur,,,,,,
SlaT-3160-n12,proficiscor,v#v-w645_MPf15_MP,proficiscor-07,v#02009433,119713,ACT,ex urbe proficiscitur,,,,,,
SlaT-3161-n1,mitto,v#v-w228_MPf36_MP,mitto-18,v#01955127,112499,"ACT, INTT, PAT",T. Volturcium quendam Crotoniensem mittit,,,,different frame than other mitto-18,,
SlaT-3161-n9,confirmo,v#v-w206_MPf13_MP,confirmo-01,v#00165450,95765,"ACT, PAT",societatem confirmarent,,,,,,
SlaT-3161-n12,pergo,v#v-w743_MPf2_MP,pergo-02,v#01995549,116892,"ACT, DIR3",prius quam domum pergerent,,,,,,
SlaT-3161-n15,do,v#v-w72_MPf20_MP,do-28,v#02294436,99970,"ACT, ADDR, PAT",cum Catilina data atque accepta fide,,,,different frame than other do-28,,
